Time (s);IRQ;FSM
-0.010178759999999999;0;1
-0.01017563;0;1
-0.0101725;0;1
-0.010169369999999999;0;1
-0.01016624;0;1
-0.01016311;0;1
-0.010159979999999999;0;1
-0.010156849999999999;0;1
-0.01015372;0;1
-0.01015059;0;1
-0.010147459999999999;0;1
-0.01014433;0;1
-0.0101412;0;1
-0.010138069999999999;0;1
-0.010134939999999999;0;1
-0.01013181;0;1
-0.01012868;0;1
-0.010125549999999999;0;1
-0.01012242;0;1
-0.01011929;0;1
-0.010116159999999999;0;1
-0.010113029999999999;0;1
-0.0101099;0;1
-0.01010677;0;1
-0.010103639999999999;0;1
-0.01010051;0;1
-0.01009738;0;1
-0.010094249999999999;0;1
-0.010091119999999999;0;1
-0.01008799;0;1
-0.01008486;0;1
-0.010081729999999999;0;1
-0.0100786;0;1
-0.01007547;0;1
-0.010072339999999999;0;1
-0.010069209999999999;0;1
-0.01006608;0;1
-0.01006295;0;1
-0.010059819999999999;0;1
-0.01005669;0;1
-0.01005356;0;1
-0.010050429999999999;0;1
-0.010047299999999999;0;1
-0.01004417;0;1
-0.01004104;0;1
-0.010037909999999999;0;1
-0.01003478;0;1
-0.01003165;0;1
-0.010028519999999999;0;1
-0.010025389999999999;0;1
-0.01002226;0;1
-0.01001913;0;1
-0.010015999999999999;0;1
-0.01001287;0;1
-0.01000974;0;1
-0.010006609999999999;0;1
-0.010003479999999999;0;1
-0.01000035;0;1
-0.00999722;0;1
-0.009994089999999999;0;1
-0.00999096;0;1
-0.00998783;0;1
-0.009984699999999999;0;1
-0.009981569999999999;0;1
-0.00997844;0;1
-0.00997531;0;1
-0.009972179999999999;0;1
-0.00996905;0;1
-0.00996592;0;1
-0.00996279;0;1
-0.009959659999999999;0;1
-0.00995653;0;1
-0.0099534;0;1
-0.009950269999999999;0;1
-0.00994714;0;1
-0.00994401;0;1
-0.00994088;0;1
-0.009937749999999999;0;1
-0.00993462;0;1
-0.00993149;0;1
-0.009928359999999999;0;1
-0.00992523;0;1
-0.0099221;0;1
-0.00991897;0;1
-0.009915839999999999;0;1
-0.00991271;0;1
-0.00990958;0;1
-0.009906449999999999;0;1
-0.00990332;0;1
-0.00990019;0;1
-0.00989706;0;1
-0.009893929999999999;0;1
-0.0098908;0;1
-0.00988767;0;1
-0.009884539999999999;0;1
-0.00988141;0;1
-0.00987828;0;1
-0.00987515;0;1
-0.009872019999999999;0;1
-0.00986889;0;1
-0.00986576;0;1
-0.009862629999999999;0;1
-0.0098595;0;1
-0.00985637;0;1
-0.00985324;0;1
-0.009850109999999999;0;1
-0.00984698;0;1
-0.00984385;0;1
-0.009840719999999999;0;1
-0.009837589999999998;0;1
-0.00983446;0;1
-0.00983133;0;1
-0.009828199999999999;0;1
-0.00982507;0;1
-0.00982194;1;1
-0.009818809999999999;1;1
-0.009815679999999999;0;1
-0.00981255;0;1
-0.00980942;0;1
-0.009806289999999999;0;1
-0.00980316;0;1
-0.00980003;0;1
-0.009796899999999999;0;1
-0.009793769999999999;0;1
-0.00979064;0;1
-0.00978751;0;1
-0.009784379999999999;0;1
-0.00978125;0;1
-0.00977812;0;1
-0.009774989999999999;0;1
-0.009771859999999999;0;1
-0.00976873;0;1
-0.0097656;0;1
